,Model_Type,AR2_Score,R2_Score,MSE_Score,Test_Size,Scaling_Method
0,Linear,0.9154389021752865,0.915512661613203,996907.9070487693,0.2,Robust
1,Linear,0.9154389021752865,0.915512661613203,996907.9070487696,0.2,Standard
2,Linear,0.9154389021752865,0.915512661613203,996907.9070487699,0.2,MinMax
3,Ridge,0.915437750000429,0.915511510443344,996921.4902714954,0.2,Robust
4,Ridge,0.9154385976352843,0.9155123573388395,996911.4973325281,0.2,Standard
5,Ridge,0.9153125141285642,0.9153863838099795,998397.9213269078,0.2,MinMax
6,Bayesian,0.9154390644229772,0.9155128237193711,996905.9942778872,0.2,Robust
7,Bayesian,0.9154388951006551,0.9155126545447425,996907.990453032,0.2,Standard
8,Bayesian,0.9154385426824903,0.9155123024339786,996912.1451821475,0.2,MinMax
9,KNeighbor,0.9636462232330066,0.963677933253447,428582.03644926834,0.2,Robust
10,KNeighbor,0.9712684457574456,0.971293507202317,338722.1115030526,0.2,Standard
11,KNeighbor,0.961824650091716,0.9618579490013085,450056.9311057273,0.2,MinMax
12,Tree,0.9686928478385729,0.968720155879807,369086.356962884,0.2,Robust
13,Tree,0.9693833216648906,0.9694100274319982,360946.2211939141,0.2,Standard
14,Tree,0.9694049980354097,0.9694316848950415,360690.6740721,0.2,MinMax
15,SVR,0.9692933422214831,0.9693201264742459,362007.0070743289,0.2,Robust
16,SVR,0.9692996172486165,0.9693263960279112,361933.0295086733,0.2,Standard
17,SVR,0.9700488371591297,0.9700749624223172,353100.32425622636,0.2,MinMax
18,Linear,0.9147028000051918,0.9147623189073435,1001167.327703348,0.25,Robust
19,Linear,0.9147028000051921,0.9147623189073438,1001167.3277033436,0.25,Standard
20,Linear,0.914702800005192,0.9147623189073437,1001167.3277033453,0.25,MinMax
21,Ridge,0.9147053974995389,0.9147649145892044,1001136.8398740338,0.25,Robust
22,Ridge,0.914704358964272,0.9147638767786093,1001149.0295775421,0.25,Standard
23,Ridge,0.9146089675607522,0.9146685519375511,1002268.6766064432,0.25,MinMax
24,Bayesian,0.9147034193212719,0.9147629377912756,1001160.0585429886,0.25,Robust
25,Bayesian,0.9147033088627704,0.9147628274098502,1001161.3550385688,0.25,Standard
26,Bayesian,0.9147028601672293,0.9147623790274011,1001166.621557466,0.25,MinMax
27,KNeighbor,0.9629007010825738,0.962926588327903,435449.29914567014,0.25,Robust
28,KNeighbor,0.9703498203733433,0.9703705097528316,348016.00878517714,0.25,Standard
29,KNeighbor,0.9603308802491485,0.9603585606707454,465612.3133669277,0.25,MinMax
30,Tree,0.9693086390364557,0.9693300549341664,360236.77027288935,0.25,Robust
31,Tree,0.9693481444550012,0.969369532786518,359773.0793859989,0.25,Standard
32,Tree,0.9698936188133893,0.9699146265223891,353370.6288278161,0.25,MinMax
33,SVR,0.9691207460426622,0.9691422930488349,362442.1454376308,0.25,Robust
34,SVR,0.9693248159511048,0.9693462205608459,360046.89536010544,0.25,Standard
35,SVR,0.9685919977013372,0.9686139136589034,368648.2760485309,0.25,MinMax
36,Linear,0.914996714839006,0.9150461449331101,994657.7366187046,0.3,Robust
37,Linear,0.9149967148390061,0.9150461449331102,994657.7366187026,0.3,Standard
38,Linear,0.9149967148390062,0.9150461449331103,994657.7366187015,0.3,MinMax
39,Ridge,0.914992904949496,0.9150423372590816,994702.3176730663,0.3,Robust
40,Ridge,0.9149961842239919,0.9150456146266529,994663.9455590757,0.3,Standard
41,Ridge,0.9148548984542181,0.9149044110156908,996317.187356889,0.3,MinMax
42,Bayesian,0.914996629528679,0.9150460596723917,994658.7348692623,0.3,Robust
43,Bayesian,0.914996663610747,0.9150460937346407,994658.3360612317,0.3,Standard
44,Bayesian,0.9149962126307085,0.9150456430168508,994663.6131606235,0.3,MinMax
45,KNeighbor,0.9614938730055698,0.9615162646281677,450575.7283344101,0.3,Robust
46,KNeighbor,0.969514058700478,0.9695317865205786,356728.2995503295,0.3,Standard
47,KNeighbor,0.9582060513053692,0.9582303548227338,489047.85661196534,0.3,MinMax
48,Tree,0.9688874609145576,0.9689055531063111,364060.3730617651,0.3,Robust
49,Tree,0.9692530711028723,0.9692709506893602,359782.2207326528,0.3,Standard
50,Tree,0.9690022166619338,0.9690202421222971,362717.56976030493,0.3,MinMax
51,SVR,0.9690235725157131,0.9690415855574757,362467.6762986174,0.3,Robust
52,SVR,0.9691347804859767,0.96915272885941,361166.3869686006,0.3,Standard
53,SVR,0.9697478203916097,0.9697654122774064,353992.9596847138,0.3,MinMax
